POND,Date Sampled,Quarter,Flow _GPM,FDP_Flow_GPM,Flow_CFS,Conductivity umho/cm,Calculated TDS_mg-L
F2R-3,3/30/2000,Q1/00,"6,000","6,000",13,208,135
F2R-3,4/7/2000,Q2/00,"3,000","3,000",7,220,143
F2R-3,7/7/2000,Q3/00,"1,000","1,000",2,220,143
F2R-3,11/11/2000,Q4/00,"30,000","30,000",67,217,141
F2R-3,2/2/2001,Q1/01,"3,000","3,000",7,207,135
F2R-3,6/1/2001,Q2/01,"5,000","5,000",11,259,168
F2R-3,9/21/2001,Q3/01,"20,000","20,000",45,275,179
F2R-3,10/12/2001,Q4/01,"30,000","30,000",67,228,148
F2R-3,2/1/2002,Q1/02,"15,000","15,000",33,220,143
F2R-3,4/15/2002,Q2/02,"1,000","1,000",2,257,167
F2R-3,8/30/2002,Q3/02,No Flow,,0,,
F2R-3,10/18/2002,Q4/02,"20,000","20,000",45,273,177
F2R-3,2/21/2003,Q1/03,"15,000","15,000",33,266,173
F2R-3,6/19/2003,Q2/03,No Flow,,0,,
F2R-3,9/19/2003,Q3/03,No Flow,,0,,
F2R-3,12/13/2003,Q4/03,No Flow,,0,,
F2R-3,2/6/2004,Q1/04,"25,000","25,000",56,302,196
F2R-3,6/11/2004,Q2/04,"5,000","5,000",11,174,113
F2R-3,9/3/2004,Q3/04,No Flow,,0,,0
F2R-3,11/26/2004,Q4/04,"2,000","2,000",4,205,133
F2R-3,2/4/2005,Q1/05,"1,000","1,000",2,251,163
F2R-3,6/23/2005,Q2/05,No Flow,,0,,
F2R-3,9/8/2005,Q3/05,No Flow,,0,,
F2R-3,11/19/2005,Q4/05,No Flow,,0,,
F2R-3,3/22/2006,Q1/06,"20,000","20,000",45,274,178
F2R-3,5/6/2006,Q2/06,No Flow,,0,,
F2R-3,9/30/2006,Q3/06,No Flow,,0,,
F2R-3,12/30/2006,Q4/06,No Flow,,0,,
F2R-3,1/20/2007,Q1/07,"10,000","10,000",22,211,137
F2R-3,5/25/2007,Q2/07,"1,000","1,000",2,223,145
F2R-3,7/7/2007,Q3/07,"6,000","6,000",13,166,108
F2R-3,12/15/2007,Q4/07,No Flow,,0,,
F2R-3,2/12/2008,Q1/08,"20,000","20,000",45,217,141
F2R-3,4/5/2008,Q2/08,"5,000","5,000",11,222,144
F2R-3,9/17/2008,Q3/08,500,500,1,198,129
F2R-3,10/10/2008,Q4/08,"2,000","2,000",4,204,133
F2R-3,1/6/2009,Q1/09,"2,000","2,000",4,229,149
F2R-3,4/3/2009,Q2/09,"10,000","10,000",22,264,172
F2R-3,8/1/2009,Q3/09,"10,000","10,000",22,1267,824
F2R-3,10/9/2009,Q4/09,"20,000","20,000",45,1240,806
F2R-3,1/2/2010,Q1/10,"2,000","2,000",4,1195,777
F2R-3,3/6/2010,Q1/10,"2,000","2,000",4,1175,764
F2R-3,7/2/2010,Q3/10,100,100,0,1100,715
F2R-3,4/26/2011,Q2/11,No Flow,,0,,
F2R-3,9/1/2011,Q3/11,No Flow,,0,,
F2R-3,10/15/2011,Q4/11,No Flow,,0,,
F2R-3,1/27/2012,Q1/12,"20,000","20,000",45,250,163
F2R-3,4/6/2012,Q2/12,"5,000","5,000",11,200,130
F2R-3,7/7/2012,Q3/12,"1,000","1,000",2,150,98
F2R-3,12/30/2012,Q4/12,No Flow,,0,,
F2R-3,1/5/2013,Q1/13,"1,000","1,000",2,185,120
F2R-3,4/5/2013,Q2/13,200,200,0,193,125
F2R-3,9/20/2013,Q3/13,"300,000","300,000",668,230,150
F2R-3,10/4/2013,Q4/13,"1,000","1,000",2,220,143
F2R-3,1/3/2014,Q1/14,100,100,0,225,146
F2R-3,4/12/2014,Q2/14,"6,000","6,000",13,279,181
G-1,10/22/1997,Q4/97,0,0,0,264,172
G-1,1/6/1998,Q1/98,0,0,0,150,98
G-1,4/17/1998,Q2/98,,,0,273,177
G-1,9/22/1998,Q3/98,0,0,0,312,203
G-1,12/15/1998,Q4/98,0,0,0,484,315
G-1,1/30/1999,Q1/99,0,0,0,244,159
G-1,4/13/1999,Q2/99,0,0,0,250,163
G-1,7/24/1999,Q3/99,No Flow,,0,,
G-1,12/10/1999,Q4/99,No Flow,,0,,
G-1,3/29/2000,Q1/00,5000,5000,11,286,186
G-1,4/7/2000,Q2/00,500,500,1,278,181
G-1,7/7/2000,Q3/00,No Flow,,0,,
G-1,11/11/2000,Q4/00,12000,12000,27,214,139
G-1,1/13/2001,Q1/01,2000,2000,4,210,137
G-1,5/10/2001,Q2/01,500,500,1,351,228
G-1,9/21/2001,Q3/01,15000,15000,33,384,250
G-1,10/12/2001,Q4/01,4000,4000,9,240,156
G-1,2/1/2002,Q1/02,2000,2000,4,214,139
G-1,4/15/2002,Q2/02,3000,3000,7,238,155
G-1,8/30/2002,Q3/02,No Flow,,0,,
G-1,10/18/2002,Q4/02,6000,6000,13,204,133
G-1,2/21/2003,Q1/03,7000,7000,16,225,146
G-1,6/19/2003,Q2/03,No Flow,,0,,
G-1,9/19/2003,Q3/03,No Flow,,0,,
