Dist or Undist,Stat. Name,Date,Quarter,Flow (GPM),Flow(cfs),pH,EC(umhos),TDS(mg/L),TSS(mg/L),TSM(ml/L),Diss Fe (mg/L),Total Fe (mg/L),Diss Mn (mg/L),Total Mn (mg/L)
undisturbed,W-18,05/30/97,Q2/97,,,6.7,,105,20,<0.1,,0.60,,0.05
undisturbed,W-18,07/28/97,Q3/97,,,6.4,,85,19,<0.1,0.32,1.04,<0.05,<0.05
undisturbed,W-18,10/17/97,Q4/97,,,6.2,,103,15,<0.1,0.20,1.00,<0.05,<0.05
undisturbed,W-18,01/10/98,Q1/98,,,7.0,,109,12,<0.1,0.28,1.38,0.07,0.13
undisturbed,W-18,04/17/98,Q2/98,,,7.1,,101,3,<0.1,0.43,1.89,<0.05,<0.05
undisturbed,W-18,07/06/98,Q3/98,,,6.7,,98,9,<0.1,0.47,1.70,<0.05,<0.05
undisturbed,W-18,10/05/98,Q4/98,,,6.8,,120,12,<0.1,0.44,1.50,<0.05,<0.05
undisturbed,W-18,02/09/99,Q1/99,,,7.4,,105,8,<0.1,0.27,0.88,<0.05,0.05
undisturbed,W-18,04/14/99,Q2/99,,,7.5,,255,34,<0.1,0.17,1.54,<0.05,0.05
undisturbed,W-18,08/01/99,Q3/99,No Flow,,,,,,,,,,
undisturbed,W-18,12/14/99,Q4/99,,,7.5,,94,10,<0.1,0.37,1.06,0.26,0.06
undisturbed,W-18,01/29/00,Q1/00,28,0.062388592,7.4,,94,4,<0.1,0.26,0.62,<0.05,<0.05
undisturbed,W-18,04/05/00,Q2/00,57,0.127005348,6.3,,106,3,<0.1,0.44,0.92,0.05,0.05
undisturbed,W-14,08/01/00,Q3/00,No Flow,,,,,,,,,,
undisturbed,W-14,11/15/00,Q4/00,27459,61.18315508,6.9,,118,14,<0.1,0.27,0.88,0.17,0.17
undisturbed,W-14,01/13/01,Q1/01,541,1.20543672,6.8,,214,2,<0.1,0.31,0.65,0.36,0.41
undisturbed,W-14,04/06/01,Q2/01,345,0.768716578,6.6,,294,5,<0.1,0.36,0.82,0.66,0.69
undisturbed,W-14,09/21/01,Q3/01,,#VALUE!,6.8,,66,12,<0.1,0.49,1.25,0.03,0.06
undisturbed,W-14,10/12/01,Q4/01,18,0.040106952,7.0,,46,16,<0.1,0.45,1.58,0.10,0.10
