Station,date,flow(gpm),flow(cfs),WS_Area_Acres
hsw-w2,05/30/97,,0,830
hsw-w2,07/28/97,,0,830
hsw-w2,10/17/97,,0,830
hsw-w2,01/10/98,,0,830
hsw-w2,04/17/98,,0,830
hsw-w2,07/06/98,,0,830
hsw-w2,10/05/98,,0,830
hsw-w2,02/09/99,,0,830
hsw-w2,04/14/99,,0,830
hsw-w2,09/30/99,,0,830
hsw-w2,12/14/99,,0,830
hsw-w2,01/29/00,75,0.16710113,830
hsw-w2,04/05/00,157,0.349798365,830
hsw-w2,09/15/00,,0,830
hsw-w2,11/07/00,287,0.639440323,830
hsw-w2,01/05/01,341.8,0.761535548,830
hsw-w2,04/06/01,344.6,0.76777399,830
hsw-w2,09/08/01,14.3,0.031860615,830
hsw-w2,10/12/01,6054.3,13.48907159,830
hsw-w2,01/07/02,122,0.271817837,830
hsw-w2,04/10/02,797,1.775728004,830
hsw-w2,07/01/02,91.6,0.20408618,830
hsw-w2,10/25/02,12.7,0.028295791,830
hsw-w2,01/03/03,1472.7,3.281197781,830
hsw-w2,04/26/03,22.9,0.051021545,830
hsw-w2,08/03/03,,0,830
hsw-w2,12/29/03,44.3,0.098701067,830
hsw-w2,01/25/04,41.3,0.092017022,830
hsw-w2,04/26/04,2070.4,4.612882383,830
hsw-w2,07/08/04,86.6,0.192946104,830
hsw-w2,11/22/04,696.3,1.551366887,830
hsw-w2,01/07/05,3787.9,8.439498251,830
hsw-w2,04/29/05,,0,830
hsw-w2,09/06/05,789.6,1.759240692,830
hsw-w2,12/06/05,,0,830
hsw-w2,07/06/07,4333.2,9.654434864,830
hsw-w2,12/13/07,59.9,0.133458102,830
hsw-w2,02/16/08,643.7,1.434173295,830
hsw-w2,04/04/08,1181.8,2.6330682,830
hsw-w2,09/15/08,,0,830
hsw-w2,11/28/08,183.8,0.409509168,830
hsw-w2,01/07/09,307.2,0.684446227,830
hsw-w2,04/22/09,17.9,0.03988147,830
hsw-w2,07/30/09,943.7,2.102577813,830
hsw-w2,10/09/09,5966.9,13.29434307,830
hsw-w2,01/29/10,250.6,0.558340574,830
hsw-w2,06/10/10,,0,830
hsw-w2,07/10/10,,0,830
hsw-w2,12/31/10,,0,830
hsw-w2,03/01/11,,0,830
hsw-w2,09/01/11,,0,830
hsw-w2,12/06/11,,0,830
hsw-w2,01/11/12,44.2,0.098478266,830
hsw-w2,06/15/12,436,0.971414567,830
hsw-w2,12/28/12,,0,830
hsw-w2,04/30/13,13,0.028964196,830
hsw-w2,05/24/13,,0,830
hsw-w2,05/31/13,12.3,0.027404585,830
hsw-w2,06/30/13,37.6,0.083773366,830
hsw-w2,09/27/13,2,0.00445603,830
sw-3,,,0,613
sw-3,,,0,613
sw-3,,,0.51,613
sw-3,,,2.38,613
sw-3,,,0.23,613
sw-3,,,0.12,613
sw-3,,,0.03,613
sw-3,,,0,613
sw-3,,,0,613
sw-3,,,0,613
sw-3,,,0,613
sw-3,,,0,613
sw-3,,,0,613
sw-3,,,0.018,613
sw-3,,,0.35,2520
sw-4,,,0,2520
sw-4,,,0,2520
sw-4,,,0,2520
sw-4,,,5.3,2520
sw-4,,,6.43,2520
sw-4,,,0.41,2520
sw-4,,,0.36,2520
sw-4,,,0,2520
sw-4,,,0,2520
sw-4,,,0,2520
sw-4,,,0,2520
sw-4,,,0,2520
sw-4,,,0,2520
sw-4,,,0,2520
sw-4,,,1.33,2520
sw-4,,,2.96,2520
sw-4,,,0,2520
HSW-W1,09/15/00,,0,
HSW-W1,11/15/00,27459,61.17906557,
HSW-W1,01/13/01,541.3,1.206024553,
HSW-W1,04/06/01,38,0.084664572,
HSW-W1,09/21/01,14.1,0.031415012,
HSW-W1,10/12/01,18.3,0.040772676,
HSW-W1,01/25/02,1215,2.7070383,
HSW-W1,04/03/02,859.9,1.915870151,
HSW-W1,07/02/02,42.8,0.095359045,
HSW-W1,10/30/02,19.1,0.042555088,
HSW-W1,01/03/03,142.5,0.317492146,
HSW-W1,05/02/03,8.5,0.018938128,
HSW-W1,08/03/03,,0,
HSW-W1,12/29/03,,0,
HSW-W1,02/06/04,282.6,0.629637056,
HSW-W1,04/24/04,854.7,1.904284473,
HSW-W1,09/15/04,125.6,0.279838692,
HSW-W1,11/22/04,316.2,0.704498362,
HSW-W1,01/07/05,3728.1,8.30626295,
HSW-W1,04/26/05,239.3,0.533164004,
HSW-W1,09/06/05,7.8,0.017378517,
HSW-W1,12/06/05,,0,
HSW-W1,07/06/07,10359,23.08000802,
HSW-W1,12/15/07,233.8,0.520909921,
HSW-W1,02/16/08,3278,7.303433371,
HSW-W1,04/04/08,6964.9,15.5179021,
HSW-W1,09/15/08,10.6,0.02361696,
HSW-W1,11/28/08,3.6,0.008020854,
HSW-W1,01/06/09,64.6,0.143929773,
HSW-W1,04/22/09,50.3,0.112069158,
HSW-W1,07/30/09,6108.4,13.6096072,
HSW-W1,10/09/09,58746.9,130.888978,
HSW-W1,01/29/10,7208.6,16.06086937,
HSW-W1,06/10/10,,0,
HSW-W1,07/10/10,,0,
HSW-W1,12/31/10,,0,
HSW-W1,09/01/11,,0,
HSW-W1,12/06/11,284,0.632756277,
HSW-W1,01/11/12,,0,
HSW-W1,06/15/12,5435.6,12.11059867,
HSW-W1,12/28/12,,0,
HSW-W1,04/30/13,576.4,1.284227881,
HSW-W1,05/24/13,,0,
HSW-W1,05/31/13,679.2,1.51326783,
HSW-W1,06/30/13,486.2,1.083260923,
HSW-W1,09/27/13,391,0.871153889,
